"score","text","name"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"Revealed: Release Date Of @aamir_khan Secret Superstar","AamirKhan"
0,"RT @Bollyhungama: ""@aamir_khan has two most IMPORTANT factors called discipline and perseverance"": #RahulBhatt #TalkingFilms https://t.co/k…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @Jammy_PK: #SecretSuperstar to release on 4th August 2017 @aamir_khan <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>","AamirKhan"
1,"RT @VanHeusenInd: The man of the moment @aamir_khan with his beautiful co-stars! #VHGQFashionNights #FashionNights https://t.co/Y7ZeF1JmSK","AamirKhan"
0,"RT @Radio360Aust: #NowPlaying #Gilheriyaan @jonitamusic @aamir_khan #Dangal @ipritamofficial  -Vote for #Top6Countdown #RjNeel https://t.co…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @Bollyhungama: ""I will make steroids personally available 2 people &amp; if dey cn achieve same results wht @aamir_khan hs achieved"": #Rahul…","AamirKhan"
0,"@aamir_khan @YouTube <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @Jammy_PK: . @aamir_khan @fattysanashaikh and @sanyamalhotra07 at Van Heusen #FashionNights event today <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/H8uUogpjFB","AamirKhan"
0,"RT @gqindia: #Bossman sandwich!  @CheKurrienGQ, @aamir_khan and @Alex_Kuruvilla at #FashionNights. #aboutlastnight @VanHeusenInd https://t.…","AamirKhan"
0,"@FilmyPoll @BeingSalmanKhan @aamir_khan @akshaykumar","AamirKhan"
0,"@aamir_khan","AamirKhan"
0,"RT @EntDC: Watch: Like @aamir_khan, #Dangal girls sweat blood to perfect their wrestling act.
https://t.co/rkiBfZI2lB https://t.co/SDCekf6d…","AamirKhan"
0,"@KadelSumit The cameo of @aamir_khan in #SecretSuperstar would be for how many minutes ???","AamirKhan"
0,"RT @Bollyhungama: ""I will make steroids personally available 2 people &amp; if dey cn achieve same results wht @aamir_khan hs achieved"": #Rahul…","AamirKhan"
1,"@aamir_khan @YouTube awesome girls","AamirKhan"
0,"RT @PlanetBwood: #SecretSuperstar, written-directed by Advait Chandan which features superstar @aamir_khan in cameo role will release on Au…","AamirKhan"
0,"RT @utvfilms: Miliye Dangal ki #DhaakadGirls se, iss naye video mein: https://t.co/cwIF3IsUgT
@aamir_khan @niteshtiwari22","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"@aamir_khan love u brother...","AamirKhan"
